zipcode,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
33144,25.763484,-80.312095,0.9,place,,,,,Miami,FL,"Miami-Dade County",33144,US,"TIGER/Line® dataset from the US Census Bureau"
33144,25.763484,-80.312095,0.9,place,,,,,Miami,FL,"Miami-Dade County",33144,US,"TIGER/Line® dataset from the US Census Bureau"
33144,25.763484,-80.312095,0.9,place,,,,,Miami,FL,"Miami-Dade County",33144,US,"TIGER/Line® dataset from the US Census Bureau"
81505,39.14657,-108.626481,1,place,,,,,"Grand Junction",CO,"Mesa County",81505,US,"TIGER/Line® dataset from the US Census Bureau"
85755,32.452638,-110.97366,0.9,place,,,,,"Oro Valley",AZ,"Pima County",85755,US,"TIGER/Line® dataset from the US Census Bureau"
33180,25.948426,-80.150601,0.9,place,,,,,Ojus,FL,"Miami-Dade County",33180,US,"TIGER/Line® dataset from the US Census Bureau"
38372,35.210571,-88.179203,1,place,,,,,Savannah,TN,"Hardin County",38372,US,"TIGER/Line® dataset from the US Census Bureau"
30309,33.797854,-84.387726,1,place,,,,,Atlanta,GA,"Fulton County",30309,US,"TIGER/Line® dataset from the US Census Bureau"
90064,34.037252,-118.423573,1,place,,,,,"Los Angeles",CA,"Los Angeles County",90064,US,"TIGER/Line® dataset from the US Census Bureau"
85260,33.610739,-111.891472,1,place,,,,,Scottsdale,AZ,"Maricopa County",85260,US,"TIGER/Line® dataset from the US Census Bureau"
83642,43.579067,-116.421656,1,place,,,,,Meridian,ID,"Ada County",83642,US,"TIGER/Line® dataset from the US Census Bureau"
90049,34.091829,-118.491244,1,place,,,,,"Los Angeles",CA,"Los Angeles County",90049,US,"TIGER/Line® dataset from the US Census Bureau"
71115,32.340125,-93.609198,1,place,,,,,Shreveport,LA,"Caddo Parish",71115,US,"TIGER/Line® dataset from the US Census Bureau"
94109,37.795219,-122.420782,1,place,,,,,"San Francisco",CA,"San Francisco County",94109,US,"TIGER/Line® dataset from the US Census Bureau"
33144,25.763484,-80.312095,0.9,place,,,,,Miami,FL,"Miami-Dade County",33144,US,"TIGER/Line® dataset from the US Census Bureau"
11023,40.7987,-73.733702,1,place,,,,,"Great Neck",NY,"Nassau County",11023,US,"TIGER/Line® dataset from the US Census Bureau"
90068,34.129772,-118.330989,1,place,,,,,"Los Angeles",CA,"Los Angeles County",90068,US,"TIGER/Line® dataset from the US Census Bureau"
85318,33.276539,-112.18717,1,place,,,,,Glendale,AZ,"Maricopa County",85318,US,"TIGER/Line® dataset from the US Census Bureau"
77380,30.136378,-95.468467,0.9,place,,,,,Spring,TX,"Montgomery County",77380,US,"TIGER/Line® dataset from the US Census Bureau"
92677,33.532817,-117.710262,1,place,,,,,"Laguna Niguel",CA,"Orange County",92677,US,"TIGER/Line® dataset from the US Census Bureau"
89116,35.927901,-114.972061,1,place,,,,,"Las Vegas",NV,"Clark County",89116,US,"TIGER/Line® dataset from the US Census Bureau"
34480,29.102401,-82.096588,1,place,,,,,Ocala,FL,"Marion County",34480,US,"TIGER/Line® dataset from the US Census Bureau"
84119,40.700258,-111.946425,1,place,,,,,"Salt Lake City",UT,"Salt Lake County",84119,US,"TIGER/Line® dataset from the US Census Bureau"
84119,40.700258,-111.946425,1,place,,,,,"Salt Lake City",UT,"Salt Lake County",84119,US,"TIGER/Line® dataset from the US Census Bureau"
68031,41.621961,-96.549316,1,place,,,,,Hooper,NE,"Dodge County",68031,US,"TIGER/Line® dataset from the US Census Bureau"
33487,26.411642,-80.09277,1,place,,,,,"Boca Raton",FL,"Palm Beach County",33487,US,"TIGER/Line® dataset from the US Census Bureau"
33487,26.411642,-80.09277,1,place,,,,,"Boca Raton",FL,"Palm Beach County",33487,US,"TIGER/Line® dataset from the US Census Bureau"
97333,44.467218,-123.337762,1,place,,,,,Corvallis,OR,"Benton County",97333,US,"TIGER/Line® dataset from the US Census Bureau"
97333,44.467218,-123.337762,1,place,,,,,Corvallis,OR,"Benton County",97333,US,"TIGER/Line® dataset from the US Census Bureau"
11968,40.905926,-72.415663,1,place,,,,,Southampton,NY,"Suffolk County",11968,US,"TIGER/Line® dataset from the US Census Bureau"
11968,40.905926,-72.415663,1,place,,,,,Southampton,NY,"Suffolk County",11968,US,"TIGER/Line® dataset from the US Census Bureau"
91355,34.439741,-118.634816,1,place,,,,,Valencia,CA,"Los Angeles County",91355,US,"TIGER/Line® dataset from the US Census Bureau"
28262,35.318311,-80.747559,1,place,,,,,Charlotte,NC,"Mecklenburg County",28262,US,"TIGER/Line® dataset from the US Census Bureau"
33073,26.298352,-80.180078,1,place,,,,,"Pompano Beach",FL,"Broward County",33073,US,"TIGER/Line® dataset from the US Census Bureau"
7094,40.78885,-74.056035,1,place,,,,,Secaucus,NJ,"Hudson County",07094,US,"TIGER/Line® dataset from the US Census Bureau"
77090,30.00824,-95.438996,1,place,,,,,Houston,TX,"Harris County",77090,US,"TIGER/Line® dataset from the US Census Bureau"
77090,30.00824,-95.438996,1,place,,,,,Houston,TX,"Harris County",77090,US,"TIGER/Line® dataset from the US Census Bureau"
33716,27.87506,-82.648609,1,place,,,,,"Saint Petersburg",FL,"Pinellas County",33716,US,"TIGER/Line® dataset from the US Census Bureau"
77836,30.526184,-96.658407,1,place,,,,,Caldwell,TX,"Burleson County",77836,US,"TIGER/Line® dataset from the US Census Bureau"
62269,38.571835,-89.89568,1,place,,,,,O'fallon,IL,"St. Clair County",62269,US,"TIGER/Line® dataset from the US Census Bureau"
77005,29.718435,-95.423555,1,place,,,,,Houston,TX,"Harris County",77005,US,"TIGER/Line® dataset from the US Census Bureau"
90272,34.04806,-118.52647,1,place,,,,,"Pacific Palisades",CA,"Los Angeles County",90272,US,"TIGER/Line® dataset from the US Census Bureau"
87048,35.23782,-106.60669,1,place,,,,,Corrales,NM,"Sandoval County",87048,US,"TIGER/Line® dataset from the US Census Bureau"
60010,42.146794,-88.165268,1,place,,,,,Barrington,IL,"Cook County",60010,US,"TIGER/Line® dataset from the US Census Bureau"
92651,33.520941,-117.741315,1,place,,,,,"Laguna Beach",CA,"Orange County",92651,US,"TIGER/Line® dataset from the US Census Bureau"
11791,40.828288,-73.505922,1,place,,,,,Syosset,NY,"Nassau County",11791,US,"TIGER/Line® dataset from the US Census Bureau"
61109,42.196681,-89.065539,1,place,,,,,Rockford,IL,"Winnebago County",61109,US,"TIGER/Line® dataset from the US Census Bureau"
21075,39.205756,-76.753093,1,place,,,,,Elkridge,MD,"Howard County",21075,US,"TIGER/Line® dataset from the US Census Bureau"
85260,33.610739,-111.891472,1,place,,,,,Scottsdale,AZ,"Maricopa County",85260,US,"TIGER/Line® dataset from the US Census Bureau"
34240,27.364656,-82.318479,1,place,,,,,Sarasota,FL,"Sarasota County",34240,US,"TIGER/Line® dataset from the US Census Bureau"
33928,26.42279,-81.80208,1,place,,,,,Estero,FL,"Lee County",33928,US,"TIGER/Line® dataset from the US Census Bureau"
63901,36.778764,-90.440688,1,place,,,,,"Poplar Bluff",MO,"Butler County",63901,US,"TIGER/Line® dataset from the US Census Bureau"
63901,36.778764,-90.440688,1,place,,,,,"Poplar Bluff",MO,"Butler County",63901,US,"TIGER/Line® dataset from the US Census Bureau"
32128,29.095903,-81.078335,0.9,place,,,,,"Daytona Beach",FL,"Volusia County",32128,US,"TIGER/Line® dataset from the US Census Bureau"
75225,32.851127,-96.771829,1,place,,,,,Dallas,TX,"Dallas County",75225,US,"TIGER/Line® dataset from the US Census Bureau"
60559,41.799876,-87.970713,1,place,,,,,Westmont,IL,"Dupage County",60559,US,"TIGER/Line® dataset from the US Census Bureau"
91361,34.137015,-118.82193,1,place,,,,,"Westlake Village",CA,"Los Angeles County",91361,US,"TIGER/Line® dataset from the US Census Bureau"
10583,40.992686,-73.799476,1,place,,,,,Scarsdale,NY,"Westchester County",10583,US,"TIGER/Line® dataset from the US Census Bureau"
75205,32.826028,-96.784329,1,place,,,,,Dallas,TX,"Dallas County",75205,US,"TIGER/Line® dataset from the US Census Bureau"
91745,33.976114,-117.981631,1,place,,,,,"Hacienda Heights",CA,"Los Angeles County",91745,US,"TIGER/Line® dataset from the US Census Bureau"
33181,25.900437,-80.155363,0.9,place,,,,,Miami,FL,"Miami-Dade County",33181,US,"TIGER/Line® dataset from the US Census Bureau"
34243,27.402542,-82.523909,0.9,place,,,,,Sarasota,FL,"Manatee County",34243,US,"TIGER/Line® dataset from the US Census Bureau"
76108,32.782178,-97.496948,1,place,,,,,"Fort Worth",TX,"Tarrant County",76108,US,"TIGER/Line® dataset from the US Census Bureau"
46013,40.05668,-85.674976,1,place,,,,,Anderson,IN,"Madison County",46013,US,"TIGER/Line® dataset from the US Census Bureau"
32309,30.594644,-84.041281,0.9,place,,,,,"Miccosukee Cpo",FL,"Leon County",32309,US,"TIGER/Line® dataset from the US Census Bureau"
77079,29.776093,-95.603037,1,place,,,,,Houston,TX,"Harris County",77079,US,"TIGER/Line® dataset from the US Census Bureau"
95630,38.666597,-121.141636,1,place,,,,,Folsom,CA,"Sacramento County",95630,US,"TIGER/Line® dataset from the US Census Bureau"
68117,41.207194,-96.001636,1,place,,,,,Omaha,NE,"Douglas County",68117,US,"TIGER/Line® dataset from the US Census Bureau"
11968,40.905926,-72.415663,1,place,,,,,Southampton,NY,"Suffolk County",11968,US,"TIGER/Line® dataset from the US Census Bureau"
28205,35.218791,-80.789601,1,place,,,,,Charlotte,NC,"Mecklenburg County",28205,US,"TIGER/Line® dataset from the US Census Bureau"
38120,35.123644,-89.842541,1,place,,,,,Memphis,TN,"Shelby County",38120,US,"TIGER/Line® dataset from the US Census Bureau"
8034,39.906532,-75.000166,1,place,,,,,"Cherry Hill",NJ,"Camden County",08034,US,"TIGER/Line® dataset from the US Census Bureau"
33931,26.452025,-81.948145,1,place,,,,,"Fort Myers Beach",FL,"Lee County",33931,US,"TIGER/Line® dataset from the US Census Bureau"
63701,37.335289,-89.574605,1,place,,,,,"Cape Girardeau",MO,"Cape Girardeau County",63701,US,"TIGER/Line® dataset from the US Census Bureau"
33133,25.712601,-80.256995,0.9,place,,,,,Miami,FL,"Miami-Dade County",33133,US,"TIGER/Line® dataset from the US Census Bureau"
53020,43.827363,-87.9915,1,place,,,,,"Elkhart Lake",WI,"Sheboygan County",53020,US,"TIGER/Line® dataset from the US Census Bureau"
7030,40.746851,-74.033934,1,place,,,,,Hoboken,NJ,"Hudson County",07030,US,"TIGER/Line® dataset from the US Census Bureau"
32962,27.587819,-80.382865,1,place,,,,,"Vero Beach",FL,"Indian River County",32962,US,"TIGER/Line® dataset from the US Census Bureau"
33414,26.645659,-80.25144,1,place,,,,,"West Palm Beach",FL,"Palm Beach County",33414,US,"TIGER/Line® dataset from the US Census Bureau"
83815,47.726282,-116.789948,1,place,,,,,"Coeur D Alene",ID,"Kootenai County",83815,US,"TIGER/Line® dataset from the US Census Bureau"
92782,33.739689,-117.78471,1,place,,,,,Tustin,CA,"Orange County",92782,US,"TIGER/Line® dataset from the US Census Bureau"
91006,34.136258,-118.026704,1,place,,,,,Arcadia,CA,"Los Angeles County",91006,US,"TIGER/Line® dataset from the US Census Bureau"
85250,33.534451,-111.887354,1,place,,,,,Scottsdale,AZ,"Maricopa County",85250,US,"TIGER/Line® dataset from the US Census Bureau"
44023,41.387203,-81.304222,1,place,,,,,"Chagrin Falls",OH,"Geauga County",44023,US,"TIGER/Line® dataset from the US Census Bureau"
32004,29.937673,-81.420603,1,place,,,,,"Ponte Vedra Beach",FL,"St. Johns County",32004,US,"TIGER/Line® dataset from the US Census Bureau"
64801,37.113343,-94.502663,1,place,,,,,Joplin,MO,"Jasper County",64801,US,"TIGER/Line® dataset from the US Census Bureau"
